Country/Region,Province/State,Last Update,ObservationDate,Latitude,Longitude,Confirmed,Deaths,Recovered
Albania,,2020-05-12T15:42:00.005Z,2/8/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,2/9/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,2/10/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,2/11/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,2/12/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,2/13/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,2/14/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,2/15/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,2/16/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,2/17/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,2/18/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,2/19/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,2/20/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,2/21/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,2/22/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,2/23/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,2/24/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,2/25/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,2/26/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,2/27/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,2/28/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,2/29/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,3/1/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,3/2/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,3/3/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,3/4/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,3/5/20,41.1533,20.1683,0,0,0
